timestamp,TWTR,FB,SPY,inf_rate,log_ind,risk_free
2015-02-27,0.2811084465760725,0.04031089448030567,0.05620456254700423,0.0038913423552486837,4.658165780640035,0.018333333333333333
2015-03-31,0.04159733777038266,0.04109155375459039,-0.020079749359156907,0.00488660174785438,4.655353664758051,0.020833333333333332
2015-04-30,-0.22204472843450473,-0.04190232925865123,0.009833841980332325,0.0021751717446756302,4.6494473246174,0.01916666666666667
2015-05-29,-0.058778234086242276,0.005331979179890922,0.012856183440468127,0.0041769463789387284,4.645104106287143,0.02
2015-06-30,-0.012271611671666238,0.08302816012122749,-0.02486501847115663,0.0037436148625009658,4.641669892866874,0.023333333333333334
2015-07-31,-0.14384318056322465,0.09613478691774047,0.022147748797901823,0.00038342221757470263,4.647504316654003,0.024999999999999998
2015-08-31,-0.10383747178329583,-0.048718221465801514,-0.06134473746733193,-0.0012466124661246747,4.6459483395473455,0.03166666666666667
2015-09-30,-0.03058654192155441,0.0052555071005255805,-0.030120481927710774,-0.0010969927668251778,4.642242439006695,0.030833333333333334
2015-10-30,0.05642167780252416,0.13426028921023359,0.0852862884284149,0.0001785055977026051,4.638581750973231,0.021666666666666667
2015-11-30,-0.10751932536893893,0.02226144944591546,0.003655076227576437,-0.0013152738601930336,4.631681631303814,0.04
2015-12-31,-0.08897637795275581,0.004029163468917796,-0.023096458862427505,-0.0025019230619809374,4.6259664371236235,0.05416666666666667
2016-01-29,-0.2739844425237683,0.07213835276132241,-0.049786628733997196,0.002243357558479264,4.634267716811787,0.045000000000000005
2016-02-29,0.07857142857142851,-0.0471437483290259,-0.0008259343382200912,0.0016554361258132033,4.627151810094479,0.04416666666666667
2016-03-31,-0.08664459161147908,0.0671530115974559,0.06178962595577597,0.003670080695220568,4.619225939435742,0.055
2016-04-29,-0.11661631419939589,0.03049956178790536,0.003941222265472888,0.004124372840212498,4.620223316967638,0.04666666666666667
2016-05-31,0.04103967168262668,0.010460962748766844,0.01701158338583819,0.003945752637879885,4.6193669335827465,0.049166666666666664
2016-06-30,0.11103810775295653,-0.03812810369497521,-0.0017155928326344494,0.0034164372426168654,4.6237436267714145,0.04583333333333334
2016-07-29,-0.01596688350088704,0.0845292264613231,0.036471262172999896,-0.0007184100210556599,4.62627098989611,0.0425
2016-08-31,0.15444711538461542,0.017589156043246845,0.0011974944731023562,0.0013193066183303515,4.625371753304961,0.047499999999999994
2016-09-30,0.19989588755856325,0.01704725658103401,-0.0049682583494341515,0.002184490120146876,4.625440351030288,0.049166666666666664
2016-10-31,-0.22125813449023868,0.021205270133312526,-0.01733703190013869,0.0011660785464411294,4.627406124888656,0.055
2016-11-30,0.030083565459609884,-0.09596152378044132,0.03683839096683128,-0.0007840928122289093,4.625469748614984,0.06166666666666667
2016-12-30,-0.11844240129799877,-0.028458030738051088,0.014293493057446316,0.0006094820164712633,4.634030686221103,0.0725
2017-01-31,0.08098159509202452,0.13272490221642763,0.01789468975081654,0.005615239951575868,4.635084264917224,0.06916666666666667
2017-02-28,-0.10499432463110114,0.04005524861878462,0.03929152199709929,0.00350554413540638,4.631304685389141,0.06833333333333333
2017-03-31,-0.051997463538363986,0.04803010181496248,-0.0030870723559013324,0.001048743959348064,4.638053552822802,0.08416666666666667
2017-04-28,0.10234113712374593,0.05772615276311144,0.00992618987019589,0.002536205941429559,4.647003828619793,0.08666666666666667
2017-05-31,0.11165048543689315,0.008053244592346243,0.014112903225806495,0.001044994925384346,4.6483532310336235,0.09333333333333334
2017-06-30,-0.024563318777292564,-0.003169153571900285,0.0014910536779324524,0.0013405530438441726,4.649999181745365,0.09999999999999999
2017-07-31,-0.0996082820369335,0.12100940521923431,0.020554177005789986,-0.00031500196876232955,4.649595600385728,0.10166666666666667
2017-08-31,0.05096333126165331,0.01607090103397346,0.002917696640596601,0.0024120248629870833,4.644847525640853,0.1025
2017-09-29,-0.0023654642223536193,-0.0063964644996219455,0.01511172168572461,0.0040939436577551724,4.644873474990607,0.10666666666666667
2017-10-31,0.22228808535862465,0.05378357815883428,0.02356406480117812,-4.472305249736408e-05,4.659930114649615,0.11666666666666665
2017-11-30,-0.0019398642095054264,-0.015994668443852,0.030565817616177382,0.0002459877900606866,4.665258193264458,0.13
2017-12-29,0.16666666666666674,-0.00406366407043679,0.006980868646466298,2.6083197949056114e-05,4.668482956199844,0.14166666666666666
2018-01-31,0.07496876301541011,0.05910687974611806,0.05635913962377259,0.005406533298059735,4.665940679517671,0.15
2018-02-28,0.23440526927547456,-0.04585585103536838,-0.03636041149343738,0.004191527999110711,4.6694764926659715,0.16333333333333333
2018-03-29,-0.08945386064030125,-0.10391431135038132,-0.03129026320633166,0.0024247031860673562,4.675180273268922,0.17166666666666666
2018-04-30,0.044812133746983784,0.07641279178922344,0.005168155044651401,0.003368701632439741,4.684187444991889,0.17916666666666667
2018-05-31,0.14483668756186097,0.11499999999999999,0.024309099844996407,0.0037977052320268267,4.676223998942124,0.18916666666666668
2018-06-29,0.2585014409221902,0.013244342475753346,0.0012548903816342882,0.0019446718914495342,4.683710534916443,0.19416666666666668
2018-07-31,-0.2702083810396153,-0.11187731576780557,0.037046593925095905,0.00031010580080259587,4.688150114264266,0.1991666666666667
2018-08-31,0.10385942893002809,0.018252404681886603,0.031919809476415706,0.00047048525630510873,4.696149181559077,0.2041666666666667
2018-09-28,-0.19101762364980102,-0.06413247595743465,0.0014122834211705015,0.0008020006270186286,4.697520535267043,0.21333333333333335
2018-10-31,0.22101194659170753,-0.07704000972880953,-0.06910429279031383,0.0012311771948101402,4.699720986627938,0.22083333333333333
2018-11-30,-0.0949640287769784,-0.07365439093484405,0.018549310867235658,-0.0020191216275211588,4.705076152603835,0.225
2018-12-31,-0.08616852146263909,-0.06770499964440657,-0.09334300743696711,-0.0017971908412529602,4.705482380287821,0.22166666666666668
2019-01-31,0.16771050800278364,0.2715691509649858,0.08006562099871961,0.0024979548907326787,4.701557058677819,0.215
2019-02-28,-0.08283671036948748,-0.031435599016137794,0.03241581150668682,0.003763096157489043,4.696500638992756,0.2125
2019-03-29,0.06822612085769975,0.03245586868999695,0.013635711209990076,0.004783317183286728,4.697577064379551,0.20750000000000002
2019-04-30,0.21380778588807758,0.16023756674065637,0.040852449730954365,0.0044896499662283595,4.691245124656187,0.20166666666666666
2019-05-31,-0.08694562766224001,-0.08236814891416755,-0.06377117202911364,0.002035224485980036,4.693422792333748,0.19499999999999998
2019-06-28,-0.04226125137211856,0.08750774778835857,0.0644094888654776,0.0008038239051486595,4.693889603445739,0.16666666666666666
2019-07-31,0.2123209169054443,0.0063730569948186044,0.01511945392491465,0.0017963943031711338,4.692129228274951,0.16333333333333333
2019-08-30,0.00803592531316455,-0.0440714616691551,-0.016743435430185305,0.00010021725669573378,4.699154942352166,0.1475
2019-09-30,-0.03399765533411481,-0.04087897883341396,0.014771755855701896,0.0005940856270645334,4.695673376162723,0.15
2019-10-31,-0.2725728155339806,0.0762017070979335,0.022104660174546042,0.0025609202144591947,4.691595557976991,0.13416666666666668
2019-11-29,0.03136469803136466,0.05212627184972596,0.03619819998021967,0.00026043246058726766,4.700833030871504,0.13083333333333333
2019-12-31,0.03688126819799398,0.017903193810751894,0.024020871114504905,-0.00021756498416403147,4.697318098363746,0.12916666666666668
2020-01-31,0.013416536661466472,-0.016272838002436063,-0.0004039023177778711,0.004163173572587997,4.6930391118442305,0.1275
2020-02-28,0.022167487684729315,-0.04675350403645184,-0.07916576010940857,0.002849205277779543,4.694065287653828,0.1175
2020-03-31,-0.26024096385542184,-0.13337143450927413,-0.129987173428745,-0.0017925210072124997,4.649398532299023,0.0275
2020-04-30,0.16775244299674275,0.22727817745803347,0.12698351115421924,-0.005365926367565943,4.513776128158683,0.015
2020-05-29,0.07984658298465819,0.09955546871183629,0.04764527678325514,0.00014272155737748982,4.52245465951468,0.013333333333333334
2020-06-30,-0.03810138844042621,0.008796481407437051,0.013275499474237673,0.005030216977160773,4.582944004254925,0.015
2020-07-31,0.221886539107083,0.11714449288765572,0.05889220391749883,0.0043412514731147045,4.624076333134623,0.012499999999999999
2020-08-31,0.11483516483516487,0.1558323806520283,0.0697966433909103,0.002311452291836824,4.6336458776051925,0.010833333333333334
2020-09-30,0.0965993100049285,-0.10675306957708053,-0.04128138329850284,0.0010296445963051681,4.63281259000422,0.010833333333333334
2020-10-30,-0.07056179775280902,0.004620084001527358,-0.02493356027352256,0.0004262289307288558,4.643388473804011,0.010833333333333334
2020-11-30,0.12451644100580261,0.05267758732089245,0.10877687266491076,-0.0002957683992589333,4.652273213456734,0.01
2020-12-31,0.16426574930122562,-0.013756002455139527,0.03264652267579948,0.0010390177583983196,4.662736016822464,0.008333333333333333
2021-01-29,-0.06685133887349948,-0.05429052569922399,-0.010190435433829026,0.004239718243455037,4.671343619927093,0.008333333333333333
2021-02-26,0.5250346328913518,-0.002748422560291064,0.02780555030129439,0.005314937180735946,4.635822564814015,0.005833333333333334
2021-03-31,-0.17427978198806127,0.14327303780762346,0.041986539068251005,0.006227804515942292,4.659738860457062,0.006666666666666667
2021-04-30,-0.1321703598931322,0.10372457814144576,0.052910453410037084,0.006975471554345747,4.666384751400637,0.005
